EQUIP_CODE,EQUIP_NAME,Difference
5569,ETI STANDARD TROLLEY,1
5570,ETI STANDARD TROLLEY,1
5571,ETI STANDARD TROLLEY,1
5572,ETI STANDARD TROLLEY,1
5573,ETI STANDARD TROLLEY,1
5574,ETI STANDARD TROLLEY,1
5575,ETI STANDARD TROLLEY,1
5576,ETI STANDARD TROLLEY,1
5577,ETI STANDARD TROLLEY,1
5578,ETI STANDARD TROLLEY,1
5579,ETI STANDARD TROLLEY,1
5580,ETI STANDARD TROLLEY,1
5581,ETI STANDARD TROLLEY,1
5582,ETI STANDARD TROLLEY,1
5583,ETI STANDARD TROLLEY,1
5584,ETI STANDARD TROLLEY,1
5585,ETI STANDARD TROLLEY,1
5586,ETI STANDARD TROLLEY,1
5587,ETI STANDARD TROLLEY,1
5588,ETI STANDARD TROLLEY,1
5589,ETI STANDARD TROLLEY,1
5590,ETI STANDARD TROLLEY,2
5592,ETI STANDARD TROLLEY,1
5593,ETI STANDARD TROLLEY,1
5594,ETI STANDARD TROLLEY,1
5595,ETI STANDARD TROLLEY,1
5596,ETI STANDARD TROLLEY,1
5597,ETI STANDARD TROLLEY,1
5598,ETI STANDARD TROLLEY,1
5599,ETI STANDARD TROLLEY,1
5600,ETI STANDARD TROLLEY,1
5601,ETI STANDARD TROLLEY,2
5603,ETI STANDARD TROLLEY,1
5604,ETI STANDARD TROLLEY,1
5605,ETI STANDARD TROLLEY,1
5606,ETI STANDARD TROLLEY,1
5607,ETI STANDARD TROLLEY,1
5608,ETI STANDARD TROLLEY,1
5609,ETI STANDARD TROLLEY,1
5610,ETI STANDARD TROLLEY,1
5611,ETI STANDARD TROLLEY,1
5612,ETI STANDARD TROLLEY,1
5613,ETI STANDARD TROLLEY,1
5614,ETI STANDARD TROLLEY,1
5615,ETI STANDARD TROLLEY,1
5616,ETI STANDARD TROLLEY,1
5617,ETI STANDARD TROLLEY,1
5618,ETI STANDARD TROLLEY,3
5621,ETI STANDARD TROLLEY,1
5622,ETI STANDARD TROLLEY,2
5624,ETI STANDARD TROLLEY,1
5625,ETI STANDARD TROLLEY,1
5626,ETI STANDARD TROLLEY,1
5627,ETI STANDARD TROLLEY,1
5628,ETI STANDARD TROLLEY,1
5629,ETI STANDARD TROLLEY,1
5630,ETI STANDARD TROLLEY,1
5631,ETI STANDARD TROLLEY,2
5633,ETI STANDARD TROLLEY,1
5634,ETI STANDARD TROLLEY,1
5635,ETI STANDARD TROLLEY,2
5637,ETI STANDARD TROLLEY,1
5638,ETI STANDARD TROLLEY,1
5639,ETI STANDARD TROLLEY,62
5701,NF 40 TROLLEY,1
5702,NF 40 TROLLEY,1
5703,NF 40 TROLLEY,1
5704,NF 40 TROLLEY,1
5705,NF 40 TROLLEY,1
5706,NF 40 TROLLEY,1
5707,NF 40 TROLLEY,1
5708,NF 40 TROLLEY,1
5709,NF 40 TROLLEY,1
5710,NF 40 TROLLEY,1
5711,NF 40 TROLLEY,1
5712,NF 40 TROLLEY,1
5713,NF 40 TROLLEY,1
5714,NF 40 TROLLEY,1
5715,NF 40 TROLLEY,1
5716,NF 40 TROLLEY,1
5717,NF 40 TROLLEY,1
5718,NF 40 TROLLEY,1
5719,NF 40 TROLLEY,1
5720,NF 40 TROLLEY,1
5721,NF 40 TROLLEY,1
5722,NF 40 TROLLEY,1
5723,NF 40 TROLLEY,1
5724,NF 40 TROLLEY,1
5725,NF 40 TROLLEY,1
5726,NF 40 TROLLEY,1
5727,NF 40 TROLLEY,1
5728,NF 40 TROLLEY,1
5729,NF 40 TROLLEY,1
5730,NF 40 TROLLEY,1
5731,NF 40 TROLLEY,1
5732,NF 40 TROLLEY,1
5733,NF 40 TROLLEY,1
5734,NF 40 TROLLEY,1
5735,NF 40 TROLLEY,1
5736,NF 40 TROLLEY,1
5737,NF 40 TROLLEY,1
5738,NF 40 TROLLEY,1
5739,NF 40 TROLLEY,1
5740,NF 40 TROLLEY,1
5741,NF 40 TROLLEY,1
5742,NF 40 TROLLEY,1
5743,NF 40 TROLLEY,1
5744,NF 40 TROLLEY,1
5745,NF 40 TROLLEY,1
5746,NF 40 TROLLEY,1
5747,NF 40 TROLLEY,1
5748,NF 40 TROLLEY,1
5749,NF 40 TROLLEY,1
5750,NF 40 TROLLEY,1
5751,NF 40 TROLLEY,1
5752,NF 40 TROLLEY,1
5753,NF 40 TROLLEY,1
5754,NF 40 TROLLEY,1
5755,NF 40 TROLLEY,1
